id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
747,"I’m an elderly customer and not very tech-savvy, but your network coverage has been poor and this is my fifth time reaching out about it. I don’t want to be a bother, but I really need someone to help me.",Low,Medium,Loyalty Penalty,Legalistic / rights-aware,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
748,I've had major issues with network coverage that remain unresolved after weeks of phone calls. I am a vulnerable customer and cannot deal with this level of inconvenience. I’m asking for a manager’s intervention.,Low,Medium,Poor Network Coverage,Formal professional,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
749,"Once again, I find myself disappointed by the poor network coverage that’s persisted for too long. I’ve done everything right—called, raised my concerns—but still, I’m left with no clarity or solution.",Low,Medium,Poor Network Coverage,Polite but firm,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
750,"I've tried to use your chatbot to get help with my account, but it seems to misunderstand everything. I called once about it last month, and I was assured it would be looked at. I still can't get the information I need. It's quite frustrating not knowing how to navigate your services properly.",Low,Medium,Ineffective AI / Chatbot Support,Polite but firm,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
751,"I've been a loyal customer for years, and I can't help but notice that new customers get a better deal than loyal ones like myself. It feels rather absurd that I'm being penalised for sticking with you. If this is how you value long-time customers, perhaps I should consider switching myself.",Low,Medium,Loyalty Penalty,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
752,"As a long-standing customer, I find it unacceptable that your chatbot directs me to the wrong sections when I seek assistance. I reported this issue yesterday and was told it would be resolved. I expected more from a company that I've supported for over a decade.",Low,Medium,Ineffective AI / Chatbot Support,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
753,"I've contacted support multiple times about my faulty handset, and nothing seems to improve. It’s become quite tedious, and I’m losing patience. Each call doesn't seem to help, and my frustration levels are growing. This is not the quality of service I expected.",Low,Medium,Faulty Hardware / Handset Issues,Formal professional,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
754,"I don’t understand why I’m left without updates after waiting for a resolution. I mentioned my concern last week, and it almost feels like I'm talking to a wall. Just a brief update would be nice, yet here I am, still waiting.",Low,Medium,Lack of Progress Updates,Casual conversational,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
755,"It’s ridiculous how I’ve reached out about the chatbot errors multiple times now, and nothing gets done. Each interaction is like starting from scratch with no progress made. I shouldn’t have to escalate my complaint just to get through to someone who can actually help.",Low,Medium,Ineffective AI / Chatbot Support,Narrative / storytelling,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
756,"I've been trying to cancel my service since last month, but the process has been overly complicated. I’ve been told different things every time I follow up. At this point, I really just want to be done, but it feels like you’re making it unnecessarily difficult.",Low,Medium,Difficulty Cancelling Service,Terse and minimal,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
757,"I run a small business and rely heavily on my mobile connection. I spent 45 minutes on hold yesterday trying to get assistance, which isn’t feasible for me. It’s unacceptable that I have to go through such prolonged wait times just to resolve an issue.",Low,Medium,Long Call-Waiting Times,Narrative / storytelling,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
758,"I've noticed there are hidden fees on my latest bill that were never mentioned to me. When I called previously, it was brushed off as a misunderstanding. I'd appreciate a clear explanation of these charges instead of vague responses.",Low,Medium,Hidden Fees & Charges,Passive-aggressive / sarcastic,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
759,"I recently attempted to cancel my line but found the process extremely convoluted. I was on the phone for too long for something that should be straightforward. I’m not sure why this is so difficult, and I hope I can finally get this resolved.",Low,Medium,Difficulty Cancelling Service,Verbose and detailed,Recently switched from another provider,Second attempt — raised once before with no resolution
760,"As a newcomer and having just switched from another provider, I’m disappointed to find that I might not be getting the fair treatment I expected. I alerted your team regarding this loyalty penalty issue only yesterday, and it’s disheartening to have to raise it in the first place.",Low,Medium,Loyalty Penalty,Polite but firm,Recently switched from another provider,First contact — raising the issue for the first time
761,I don’t understand why I’ve been subjected to a mid-contract price hike without any adequate notice. I raised this issue last week and was met with indifference. It’s disappointing to feel that my concerns as a customer don’t truly matter to you.,Low,Medium,Faulty Hardware / Handset Issues,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
762,"I was told by your chatbot to check back regarding my ongoing coverage issues, yet there’s been little clarity. I heard back only last week and received no useful answers. Having to chase for basic information feels incredibly frustrating.",Low,Medium,Poor Network Coverage,Legalistic / rights-aware,Student on a tight budget,Second attempt — raised once before with no resolution
763,"I've just reported issues with a faulty device, and your customer service response was unsatisfactory. Despite being a loyal customer for over ten years, the lack of attention to my problem is disappointing. I expect better from you.",Low,Medium,Ineffective AI / Chatbot Support,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
764,"I contacted your support just a week ago about issues with your AI system, and I'm already feeling frustrated by how unhelpful it has been. I shouldn’t have to explain my situation multiple times for it to be acknowledged properly.",Low,Medium,Mid-Contract Price Increase,Narrative / storytelling,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
765,"I've been a loyal customer for over ten years, yet I'm still being charged a retention penalty on my account. This is my second attempt to rectify this. It’s unacceptable that nothing has changed since my last call.",Low,Medium,Loyalty Penalty,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
766,"I recently switched to your broadband service, and I’m thrilled that I can surf the web... at a snail's pace. Just thought I'd point out that my old provider's speeds were better. What should I expect here?",Low,Medium,Slow Broadband Speeds,Passive-aggressive / sarcastic,Recently switched from another provider,First contact — raising the issue for the first time
767,"When I switched to your service last month, I was excited about faster internet. But instead, I feel like I'm trying to connect using a turn of the century dial-up. Last night, it took nearly ten minutes to load a single video. This can't be the norm, can it? Please tell me this is just a temporary issue.",Low,Medium,Slow Broadband Speeds,Narrative / storytelling,Recently switched from another provider,First contact — raising the issue for the first time
768,"I raised this query last week regarding progress updates on my installation, but I haven’t heard back yet. After ten years of being your customer, I expected better communication.",Low,Medium,Lack of Progress Updates,Terse and minimal,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
769,"As a long-time customer, I must insist on receiving timely progress updates. My previous attempts to get information have been ignored. Under consumer rights regulations, I expect to be informed about the status of my issues.",Low,Medium,Lack of Progress Updates,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
770,"I’ve tried to cancel the family plan several times now, but every time I call, I just get redirected or passed around. This has turned into a frustrating saga, and I really just want to resolve this.",Low,Medium,Difficulty Cancelling Service,Narrative / storytelling,Parent managing a family plan,Second attempt — raised once before with no resolution
771,"I’m a small business owner and rely heavily on my internet connection. I've found unexpected charges on my recent bills, and I’m quite frustrated. I’ve already spoken with customer service about it, but no one seems to fully grasp the gravity of my situation. Can someone please investigate this further?",Low,Medium,Hidden Fees & Charges,Polite but firm,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
772,"As a student trying to make ends meet, I’ve raised concerns about progress updates on my service twice now. I just need to know what’s happening. The silence is concerning and disappointing.",Low,Medium,Lack of Progress Updates,Narrative / storytelling,Student on a tight budget,Second attempt — raised once before with no resolution
773,"I've been dealing with these hidden fees for weeks now, and despite multiple calls to clarify my bill, nothing has changed. I expect a satisfactory explanation or I will have to escalate this further. My time is valuable.",Low,Medium,Hidden Fees & Charges,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
774,I've reached out several times about extra fees that seem to appear every month. I need this addressed immediately. I shouldn't have to fight to understand my invoice.,Low,Medium,Poor Network Coverage,Legalistic / rights-aware,Parent managing a family plan,Second attempt — raised once before with no resolution
775,"Despite being a loyal customer for a decade, I've encountered issues with network coverage in my area repeatedly. Each time I contact support there seems to be no recognition of the problem.",Low,Medium,Overcharging & Incorrect Billing,Narrative / storytelling,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
776,"I’ve been overcharged for my plan since September, and my previous attempts to resolve this have been futile. It’s disheartening to think after all these years, I have to escalate this situation.",Low,Medium,Mid-Contract Price Increase,Polite but firm,"Elderly customer, not confident with technology",Repeat complainer — has contacted 3-5 times over weeks
777,"I recently noticed a price increase in my contract that was unexpected. As an elderly customer, I find this very concerning and a bit difficult to understand, especially when I've called multiple times with no clear response.",Low,Medium,Slow Broadband Speeds,Polite but firm,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
778,"As a parent managing a family plan, I expected consistent broadband speed, but it’s been disappointing. I’ve contacted about this before, and I really would appreciate a proper explanation this time.",Low,Medium,Difficulty Cancelling Service,Formal professional,Parent managing a family plan,First contact — raising the issue for the first time
779,I’ve already raised the issue of my faulty handset previously and was promised action. Why is it that I still face issues? This is my second complaint about this.,Low,Medium,Faulty Hardware / Handset Issues,Terse and minimal,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
780,"I'm writing this in hopes of finally resolving a situation that has become quite frustrating. Despite speaking with your chatbot numerous times regarding my query about my account, it seems to lack the ability to address my concerns adequately. I’ve even escalated this with your customer service team who promised to forward this to a manager. I can't repeat myself any longer; it's been two weeks now.",Low,Medium,Ineffective AI / Chatbot Support,Polite but firm,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
781,"It’s quite baffling that after being a loyal customer for several years, I’ve not only noticed an increase in my monthly bill but also a lack of information on why this is happening. As a student, every penny counts, and it's disheartening. After reaching out multiple times via chat and on the phone, I feel compelled to raise this issue to a higher authority if necessary. Can someone please clarify what happened to my loyalty discounts?",Low,Medium,Loyalty Penalty,Legalistic / rights-aware,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
782,"I need to express my concern over the network coverage lately. My phone keeps dropping calls, and I was sure this would be a non-issue with your service. I contacted support last week on the 10th of October and was told that the issue would be looked into, but I haven’t heard anything since. This is particularly inconvenient, especially in areas where I frequently have to make important calls. I would like an update on this as soon as possible.",Low,Medium,Poor Network Coverage,Legalistic / rights-aware,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
783,"I switched from my previous provider with the expectation of better service, yet here I am, feeling quite silly for putting my trust in your brand. I've reached out multiple times regarding your so-called loyalty rewards, only to be told I'm not eligible because of an unfair loophole. I’d love to know if you think it’s normal for a new customer to feel penalised for being loyal. It’s unacceptable.",Low,Medium,Loyalty Penalty,Passive-aggressive / sarcastic,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
784,"Last month, I noticed my bill included a charge I definitely don’t recognise. It’s not the first time I've had to deal with unexpected charges. The first time I raised it, there was no clear resolution. I thought we had settled it, but the charge reappeared again this month. As a parent dealing with the cost of a family plan, I really need clarity on what’s going wrong here. Can someone please investigate this properly?",Low,Medium,Overcharging & Incorrect Billing,Narrative / storytelling,Parent managing a family plan,Second attempt — raised once before with no resolution
785,"After being a loyal customer for over ten years, it’s honestly disappointing to see that nothing was done about the weak signal in my area. I’ve already raised this concern with your support team, and while they’ve assured me they would follow up, there seems to be no progress. I’d like someone to take this seriously, please. I expect better, especially after all these years.",Low,Medium,Poor Network Coverage,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
786,"It’s beginning to feel like I’m shouting into a void when I reach out about my connection issues. I've contacted your team nearly every week for the past month about the lack of updates on my previous complaint. As a long-term customer, I did not expect to feel so ignored. I need to know if there’s any action being taken; otherwise, I’ll consider moving to another provider.",Low,Medium,Lack of Progress Updates,Terse and minimal,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
787,"After switching from my old provider, I had high hopes for your service, but I've been repeatedly let down by calls dropping and slow data speeds. I called the helpline last week, hoping to get help, but it feels like I’m talking to a wall. I’d appreciate an actual resolution instead of generic responses that don’t address my issue.",Low,Medium,Poor Network Coverage,Verbose and detailed,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
788,"I’ve never been one to complain, but the broadband speeds I’m experiencing have been below the agreed-upon levels for a while now. I don’t see the point of being a loyal customer if I don't even get the decent service promised. I rang your team last month, but the matter remains unresolved, which is quite frustrating.",Low,Medium,Slow Broadband Speeds,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
789,"I’ve noticed what seems like an auto-renewal of my monthly plan without my consent, which is concerning given my tight budget as a student. I raised this before, and yet I’m still facing the same issue. It would be great to clarify what’s happening and if I can get a proper confirmation on my account’s settings.",Low,Medium,Auto-Renewal Without Consent,Passive-aggressive / sarcastic,Student on a tight budget,Second attempt — raised once before with no resolution
790,"As a small business owner, the slow broadband is affecting my ability to work efficiently. I raised this concern last week, yet haven’t seen any tangible progress since. I’ve been a customer for years, and I expected better than this sluggish performance that’s putting strain on my work.",Low,Medium,Slow Broadband Speeds,Legalistic / rights-aware,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
791,"I might be old, but I’m fully aware when there’s a problem with my broadband speed. It’s nowhere near what I was promised when I initially signed up. This is my first attempt to get this sorted, and I expect some action, rather than being left in limbo like so many others.",Low,Medium,Slow Broadband Speeds,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
792,"Honestly, I find it bewildering to face a mid-contract price hike with absolutely no notice. I’m a parent managing our family’s account single-handedly, and this is a tough blow. So many issues have arisen each time I call, it’s starting to feel like a challenge. I need clarification on the reasoning behind this increase, ideally from someone who can actually help.",Low,Medium,Mid-Contract Price Increase,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
793,"I’ve been trying to cancel my service for what feels like ages now, and the process has been nothing short of ridiculous. Seems no one can help me when I call, making me feel trapped in your service. I'm not sure how this can be acceptable customer service. I really need to resolve this soon as it’s now becoming an inconvenience to my family.",Low,Medium,Difficulty Cancelling Service,Casual conversational,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
794,"I'm extremely disappointed with the faulty handset I received. It’s incredibly frustrating that I've reached out multiple times in just a few weeks, only for the situation to remain unresolved. My children rely on me for communication. I need a functioning device, not to mention the hassle of explaining why I’m having to deal with this.",Low,Medium,Faulty Hardware / Handset Issues,Verbose and detailed,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
795,"I've been trying to sort out this overcharging issue for weeks now, and I'm becoming quite discouraged. I've called four times since last month, the most recent being Thursday, the 2nd of November, and every time the representatives assure me it's been resolved, yet my bill keeps reflecting incorrect charges. My condition makes this process especially taxing on my mental state, and I shouldn't have to chase after my own money. I was told by Alicia during our last conversation that the issue would be reviewed, but I have seen no changes. Can someone please take this seriously?",Low,Medium,Overcharging & Incorrect Billing,Verbose and detailed,Vulnerable customer with disability or health condition,Repeat complainer — has contacted 3-5 times over weeks
796,"I honestly didn't expect my bill to suddenly go up by £15 this month, especially when I'm on a student plan. I thought it was a simple mistake, but after contacting support multiple times, I'm still getting nowhere! I need this matter escalated; it’s getting ridiculous. Honestly, if I can’t get this sorted out soon, I might have to go to Ofcom. Not great customer loyalty when I've been with you for over two years and now this.",Low,Medium,Mid-Contract Price Increase,Casual conversational,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
797,"I cannot believe what I saw on my account. I logged in yesterday to find my plan had auto-renewed without my consent. I would have expected a notification at least given I've been a loyal customer for over a decade. When I called, I was informed nothing could be done, which absolutely baffles me. I’ve trusted your service throughout all these years, and now I feel completely disregarded. Once again, I’m left more confused than before.",Low,Medium,Auto-Renewal Without Consent,Narrative / storytelling,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
798,"While I appreciate the service I've had with you for many years, I'm at my wit’s end regarding this mid-contract price increase. I reached out to customer service three times this month, and each time, I'm reassured that there’s nothing that can be done while I am still waiting for a clear explanation on why this has happened. Can someone who has the authority to address this please step forward? I’d like to actually understand why you think this is acceptable.",Low,Medium,Mid-Contract Price Increase,Polite but firm,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
799,"I noticed some unexpected charges on my latest bill, which it seems nobody can account for. I consider myself somewhat proficient with technology, but trying to navigate through your customer service has been a struggle. I spoke to Steve last week, and he recommended I contact your billing department directly, but so far, that has led to more confusion. I need clarity on these hidden fees rather than just being pointed around your system.",Low,Medium,Hidden Fees & Charges,Formal professional,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
800,"I am writing to formally express my dissatisfaction with the additional charges that have appeared on my account. After switching to your service last month, I was assured that my first bill would be straightforward without any hidden fees. However, I was shocked to see charges that were never mentioned. This miscommunication is unacceptable, and I would appreciate an investigation into the matter.",Low,Medium,Hidden Fees & Charges,Polite but firm,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
801,"Despite my insistence on clearer communication regarding my service plan, I've not received any updates since last month when I first reported a concern. I manage a family plan, and with so many members relying on a seamless experience, it's unfair to be left in the dark. When I called, the representative promised to escalate the matter but hasn't followed through. Hoping for some prompt action now.",Low,Medium,Lack of Progress Updates,Polite but firm,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
802,"I have been on hold for over an hour the last two times I’ve tried to reach your customer service team. It's less than ideal for a busy young professional trying to balance everything. I’m just looking for support regarding my account, but the wait times are just exhausting. If I wanted to spend my entire evening waiting for a resolution, I could just sit silently in my office. Moving forward, I hope you can manage this aspect better.",Low,Medium,Long Call-Waiting Times,Verbose and detailed,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
803,"I purchased a new handset two weeks ago, but I've been experiencing constant issues with it ever since. The device freezes up and often won't even respond to me. Given the circumstances, I really need a resolution quickly, as I'm not in a position where I can be without a reliable phone. This is my first contact regarding the issue, and I expect help in sorting this out.",Low,Medium,Faulty Hardware / Handset Issues,Polite but firm,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
804,"I am becoming increasingly frustrated with my bills showing unwanted charges. I thought I understood my plan, but it turns out there are hidden fees that I simply hadn't been informed about upon signing up. I reached out last week and was told it would take some time for someone to review the situation. If this is the level of cooperation I can expect, I’m seriously reconsidering this relationship.",Low,Medium,Hidden Fees & Charges,Narrative / storytelling,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
805,"This might seem trivial, but I received a message about a price increase mid-contract, and honestly, it’s left me feeling very uneasy. After contacting customer support twice and being told there's no way around this change, I wish you'd offer more flexibility to long-term customers like myself. This isn't how I expected to be treated after many years of loyalty.",Low,Medium,Mid-Contract Price Increase,Verbose and detailed,Parent managing a family plan,Second attempt — raised once before with no resolution
806,"While I appreciate how much my inquiries have been answered before, this change to the mid-contract pricing structure feels awfully sudden. I’ve received two different responses from your team, and this lack of congruency makes me feel as though I’m being stonewalled. I hope we can resolve this quickly with someone who can truly address my concerns.",Low,Medium,Long Call-Waiting Times,Casual conversational,Recently switched from another provider,Second attempt — raised once before with no resolution
807,"The last two times I’ve called, the wait times have been horrendous. I understand everyone is busy, but I am starting to wonder if anyone really cares about customer service. I was left on hold for 30 minutes before I gave up, which is quite irritating given I’m already trying to sort things out from my switch to your provider. I just want help, and a faster response would be appreciated.",Low,Medium,Poor Network Coverage,Passive-aggressive / sarcastic,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
808,"I’m reaching out to discuss an apparent glitch in your chatbot system that seems ineffective and frustrating. I tried several times over the past week to get assistance with an account issue, but the automated responses were completely off-mark and didn’t provide any helpful information. If your AI cannot address basic concerns, then why rely on it? Somebody needs to review that technology.",Low,Medium,Slow Broadband Speeds,Formal professional,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
809,"The network coverage in my area is just appalling, to say the least. I’ve just moved, and I expected the same level of service I’d had with my previous provider. I called customer service last week to report this and was given vague assurances about investigating matters. It's just disappointing to pay the same amount and receive drastically inferior service. I hope someone can address this sooner rather than later.",Low,Medium,Ineffective AI / Chatbot Support,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
810,"I've just checked my latest bill, and I'm frustrated to see I've been overcharged for my family plan this month. It seems there's an extra £20 added that I can't account for, and I was expecting the usual amount. I spoke to Sarah last week, and she assured me everything was in order. Can someone please explain this discrepancy? I’d like to understand what happened.",Low,Medium,Overcharging & Incorrect Billing,Verbose and detailed,Parent managing a family plan,First contact — raising the issue for the first time
811,"As a long-time customer, I’ve always felt that my loyalty means something, but this hidden fee on my latest statement is frankly unacceptable. I’ve been charged an additional £15 which was never communicated to me when I signed up for my plan over a decade ago. I was hoping for a straightforward resolution here. Can you please clarify this charge?",Low,Medium,Hidden Fees & Charges,Legalistic / rights-aware,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
812,"I have been experiencing issues with the handset I received as part of my contract. I thought it was a minor glitch, but after reaching out last month about it and receiving no follow-up, I’m getting a bit concerned. I had a brief chat with Jonathan, but nothing changed. The device is simply not functioning as it should. I expected more from a company I’ve trusted for so long.",Low,Medium,Faulty Hardware / Handset Issues,Legalistic / rights-aware,Long-term loyal customer (10+ years),Second attempt — raised once before with no resolution
813,"I have reached out multiple times regarding the inability of your chatbot to address my queries effectively. It's as if the preset answers do not fit any of my needs, and it’s incredibly frustrating. I have documented our last four chats, and I can't believe I'm having to escalate this matter just to get proper support. I sincerely hope someone can assist me this time.",Low,Medium,Ineffective AI / Chatbot Support,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
814,"I’m writing to express my dissatisfaction regarding the slow broadband speeds I’ve been experiencing lately. As someone who relies heavily on the internet, this is beginning to impact my daily routine. I’ve called twice now, and though I was assured the issue would be examined, nothing seems to have changed. I expect my connection to be consistent and reliable.",Low,Medium,Slow Broadband Speeds,Polite but firm,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
815,"I can't believe I'm having to say this again, but I've been hit with errors in my billing that's just not satisfactory after being a loyal customer for ten years. The overcharge this month is annoying but not shocking given the service I've received over the years. Honestly, it's unacceptable to be dealing with this a first time.",Low,Medium,Overcharging & Incorrect Billing,Passive-aggressive / sarcastic,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
816,"I am reaching out out of sheer disappointment regarding your AI support. I’m a long-standing customer and have repeatedly tried to understand my account issues, only to face the same ineffectual responses. It's truly frustrating. The same information keeps being regurgitated, and I’ve yet to receive the assistance I require. I would appreciate swift action here.",Low,Medium,Ineffective AI / Chatbot Support,Polite but firm,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
817,"I recently noticed that I’ve been auto-renewed into a plan I did not consent to. This is quite alarming as a small business owner who relies on your services. After trying to raise this concern previously and getting nowhere, I’m left feeling compelled to escalate. Can a manager please review my account and rectify this situation?",Low,Medium,Auto-Renewal Without Consent,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
818,"I’ve tried to resolve a billing issue with your support team several times without any progress. Each time I call, I seem to be explaining the same problem to a different person. It’s becoming cumbersome, and I just need this matter settled. I trust my account history is sufficient to see that I’ve already tried to address my concerns.",Low,Medium,Ineffective AI / Chatbot Support,Formal professional,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
819,I'm reaching out to report ongoing slow broadband speeds that seem to be persisting despite being told a technician would address the issue days ago. I tried reaching customer support but was put on hold longer than I think is reasonable. My expectations were at least a prompt service in resolving this. It feels like I’m being shuffled in circles.,Low,Medium,Slow Broadband Speeds,Passive-aggressive / sarcastic,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
820,I need to bring to your attention a repeat issue with the hidden fees that just appeared on my latest bill. I've noticed a £10 charge that was not mentioned to me at any point. I reached out about this before and got no resolution. All I want is clarity about these extra costs. Can we please get this sorted?,Low,Medium,Hidden Fees & Charges,Terse and minimal,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
821,"I’ve just been on the phone waiting far too long to speak to anyone regarding my account issues. It feels frustrating to have to sit and listen to generic hold music for ages, especially as someone who is managing a disability and trying to navigate this complexity. I shouldn’t have to beg to get proper service. I expect to speak with someone who can help me.",Low,Medium,Long Call-Waiting Times,Terse and minimal,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
822,"So, here we are again – I contacted you last month about being overcharged, and I'm still seeing the same inconsistency in my bill. I run a small business and need clarity. Can someone please stop the runaround and provide a proper answer? This is more than inconvenient; it starts to feel like a real lack of service.",Low,Medium,Overcharging & Incorrect Billing,Casual conversational,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
823,"I’m completely perplexed by the hidden charges on my latest bill. I was shocked to see an unapproved amount deducted that I had not agreed to upon signing up. I’ve already chased this up before to no avail. As a susceptible customer, I would appreciate an explanation as to why these charges were applied in the first place.",Low,Medium,Hidden Fees & Charges,Narrative / storytelling,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
824,"I'm a student really trying to manage my budget, and I’m not sure why the broadband service isn’t reflecting what I was promised. The speeds just aren’t meeting the agreement, and my attempts to clarify this have been met with unhelpful responses. I’ve reached the point where I need to make a formal complaint; it shouldn’t be this difficult to get an answer.",Low,Medium,Overcharging & Incorrect Billing,Polite but firm,"Young professional, tech-savvy, impatient",Second attempt — raised once before with no resolution
825,"I’m a student on a tight budget, and I recently had to wait over 45 minutes just to speak to a representative. This is my second attempt to raise the issue, and frankly, I'm frustrated at the lack of urgency. My time is valuable too. I mentioned the long wait time before, but it seems like nothing has been done to improve the situation. Please address this as I'm relying on my mobile data for studies.",Low,Medium,Long Call-Waiting Times,Verbose and detailed,Student on a tight budget,Second attempt — raised once before with no resolution
826,"As a small business owner, I've reached out multiple times about the loyalty penalty on my account, and I am not seeing any change. I feel like I’m being penalised for not switching providers. It’s disappointing to have to bring this up yet again. I need a resolution quickly.",Low,Medium,Loyalty Penalty,Terse and minimal,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
827,"I recently switched from another provider to your service, and I'm trying to cancel my plan due to the poor reception. I've repeatedly tried to handle this through regular channels but to no avail. This is now my last resort – I want to speak to a manager or perhaps even the ombudsman. It’s unacceptable to be stuck in a contract when the service doesn't work as promised.",Low,Medium,Difficulty Cancelling Service,Verbose and detailed,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
828,"This is my first time contacting you regarding the unexpected mid-contract price increase. I’m an elderly customer, and honestly, I struggle enough with technology without the added worry of rising costs. I thought I was signing up for a fixed plan and expected to keep to that agreement. I’d appreciate clarity on why this is happening.",Low,Medium,Mid-Contract Price Increase,Polite but firm,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
829,"I just switched from a different provider, and I have to say, I'm disappointed with the network coverage. I frequently lose signal in areas I was assured would have service. This is my first contact as a new customer, and I hope to get this sorted quickly. It’s frustrating because I really expected more from your company.",Low,Medium,Poor Network Coverage,Casual conversational,Recently switched from another provider,First contact — raising the issue for the first time
830,"I've been trying to get proper support for my small business for weeks, but the AI chatbot isn’t helping at all. It keeps giving me generic responses that don't relate to my billing issues. This isn’t the first time I’ve raised this concern either, and I need a more effective solution.",Low,Medium,Ineffective AI / Chatbot Support,Legalistic / rights-aware,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
831,"I've noticed some hidden charges on my bill that I didn't agree to, and I brought this up in a previous call, but nothing was resolved. I run a small business and rely heavily on the integrity of these services. It's frustrating to see unexpected fees affecting my budget. Can you look into this swiftly?",Low,Medium,Hidden Fees & Charges,Verbose and detailed,Small business owner relying on service for livelihood,Second attempt — raised once before with no resolution
